DATA,CLASS
144.0,1
0.5,1
1.0,1
1.0,1
0.5,1
-2.5,1
-1.0,1
0.0,1
0.5,1
1.0,1
0.0,1
0.5,1
1.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
1.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.0,1
1.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
-0.5,1
0.5,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
1.0,1
-0.5,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.5,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
1.0,1
-0.5,1
0.0,1
-0.5,1
1.0,1
-0.5,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.5,1
0.0,1
-1.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
1.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
1.0,1
-0.5,1
-0.5,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-1.0,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
3.5,1
-2.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
1.5,1
0.0,1
0.5,1
-1.0,1
0.5,1
0.0,1
-0.5,1
-0.5,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
1.0,1
-0.5,1
0.0,1
0.5,1
-0.5,1
-0.5,1
1.0,1
-0.5,1
-0.5,1
0.0,1
-0.5,1
0.0,1
-4.5,1
7.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.5,1
0.0,1
0.0,1
0.5,1
0.0,1
0.5,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
-1.0,1
-0.5,1
-0.5,1
-5.0,1
0.5,1
-0.5,1
0.5,1
0.0,1
6.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
-0.5,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
0.5,1
0.5,1
0.5,1
-0.5,1
1.0,1
0.0,1
6.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
-0.5,1
-0.5,1
-1.0,1
-2.0,1
-3.0,1
-0.5,1
0.5,1
0.5,1
0.0,1
-0.5,1
-0.5,1
0.5,1
-0.5,1
-0.5,1
0.5,1
-0.5,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.5,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.0,1
0.5,1
0.5,1
1.5,1
4.5,1
1.0,1
0.5,1
-1.0,1
-0.5,1
0.0,1
0.0,1
-1.5,1
-2.0,1
-0.5,1
-1.5,1
0.5,1
-0.5,1
0.5,1
0.0,1
0.5,1
-1.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.5,1
5.0,1
0.5,1
0.0,1
-6.0,1
0.5,1
1.0,1
-0.5,1
0.0,1
-1.0,1
0.0,1
0.0,1
0.0,1
-0.5,1
0.0,1
0.0,1
0.5,1
0.0,1
0.5,1
0.5,1
-0.5,1
-0.5,1
-0.5,1
-0.5,1
-0.5,1
-0.5,1
-0.5,1
-1.0,1
-0.5,1
-1.0,1
-2.0,1
-0.5,1
-1.0,1
0.0,1
-1.0,1
0.0,1
127.5,2
-1.5,2
-0.5,2
-1.5,2
-2.0,2
-3.5,2
-4.0,2
-1.5,2
0.0,2
0.0,2
-0.5,2
0.5,2
1.5,2
1.0,2
2.0,2
4.5,2
2.5,2
2.5,2
3.0,2
0.5,2
2.5,2
2.5,2
2.5,2
2.0,2
0.5,2
0.0,2
0.0,2
0.5,2
0.0,2
0.5,2
0.0,2
0.0,2
0.5,2
0.0,2
0.5,2
-0.5,2
0.5,2
1.0,2
1.0,2
0.0,2
0.5,2
0.0,2
-1.0,2
1.0,2
0.5,2
0.5,2
0.0,2
0.0,2
0.5,2
0.0,2
1.0,2
0.5,2
-1.0,2
-0.5,2
1.5,2
1.5,2
0.0,2
0.0,2
-1.0,2
-1.5,2
-1.0,2
-0.5,2
0.0,2
0.5,2
-1.0,2
-0.5,2
-0.5,2
-0.5,2
-0.5,2
3.0,2
-2.0,2
0.0,2
0.0,2
1.0,2
2.0,2
1.0,2
-1.5,2
1.0,2
1.5,2
-0.5,2
0.5,2
-2.5,2
0.0,2
-0.5,2
0.5,2
-1.0,2
-1.0,2
0.0,2
-0.5,2
0.0,2
-0.5,2
-0.5,2
-0.5,2
-0.5,2
0.5,2
-1.0,2
-1.5,2
-1.0,2
-1.0,2
-0.5,2
-0.5,2
0.0,2
0.0,2
0.0,2
-1.5,2
-0.5,2
0.5,2
0.0,2
0.0,2
0.5,2
-0.5,2
0.0,2
0.0,2
0.5,2
0.5,2
0.5,2
0.5,2
1.0,2
0.5,2
0.5,2
1.0,2
2.5,2
0.5,2
1.0,2
1.0,2
1.5,2
1.0,2
1.0,2
1.5,2
0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
-1.0,2
0.0,2
-0.5,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
0.0,2
0.5,2
0.5,2
0.0,2
-0.5,2
0.5,2
1.0,2
0.0,2
0.0,2
0.0,2
0.5,2
0.5,2
-0.5,2
0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
-1.0,2
-0.5,2
-1.0,2
-0.5,2
-0.5,2
2.0,2
-1.5,2
-2.5,2
0.0,2
-0.5,2
-0.5,2
0.5,2
0.0,2
0.0,2
0.0,2
0.5,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.5,2
-0.5,2
-0.5,2
0.5,2
-1.0,2
-0.5,2
-0.5,2
-0.5,2
-1.0,2
-1.0,2
-0.5,2
-1.5,2
0.0,2
-0.5,2
-0.5,2
0.0,2
-0.5,2
0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.5,2
-0.5,2
0.5,2
0.0,2
0.5,2
0.5,2
0.0,2
0.5,2
0.5,2
0.0,2
0.5,2
0.5,2
1.5,2
0.0,2
1.0,2
0.5,2
5.5,2
-1.0,2
1.0,2
0.0,2
0.0,2
0.5,2
-0.5,2
0.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
0.0,2
-0.5,2
0.0,2
0.5,2
-0.5,2
0.0,2
0.5,2
-0.5,2
-0.5,2
0.0,2
0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
0.5,2
-1.0,2
0.5,2
-1.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
-1.0,2
0.0,2
0.0,2
0.0,2
0.0,2
0.5,2
0.0,2
0.5,2
0.0,2
0.0,2
-0.5,2
0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
-0.5,2
-1.0,2
-3.0,2
-0.5,2
-2.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
-0.5,2
0.0,2
-0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.5,2
-0.5,2
1.5,2
1.0,2
0.5,2
0.0,2
0.5,2
1.0,2
1.0,2
0.5,2
0.5,2
1.5,2
0.5,2
1.0,2
0.0,2
0.5,2
0.5,2
1.0,2
1.0,2
1.0,2
0.0,2
0.5,2
0.0,2
0.5,2
1.0,2
0.0,2
0.0,2
0.5,2
0.0,2
0.5,2
0.0,2
0.0,2
-0.5,2
0.0,2
0.0,2
0.0,2
0.5,2
0.0,2
0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
-0.5,2
-1.0,2
0.5,2
-1.0,2
-1.0,2
0.0,2
-1.0,2
-0.5,2
0.0,2
-0.5,2
0.0,2
0.5,2
-1.0,2
0.5,2
-0.5,2
0.5,2
0.0,2
0.5,2
-0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
-0.5,2
-1.0,2
0.5,2
-1.0,2
-1.0,2
-0.5,2
0.0,2
-0.5,2
-0.5,2
-1.5,2
-1.0,2
0.0,2
-1.5,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
0.5,2
0.0,2
1.0,2
0.0,2
0.5,2
0.0,2
0.0,2
1.0,2
5.0,2
8.0,2
1.5,2
0.5,2
0.0,2
0.5,2
0.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
-1.0,2
-0.5,2
-2.0,2
-0.5,2
0.0,2
0.0,2
-0.5,2
-0.5,2
0.0,2
0.0,2
-0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.5,2
-0.5,2
-0.5,2
0.5,2
-0.5,2
0.0,2
0.5,2
0.0,2
0.0,2
-0.5,2
0.5,2
-0.5,2
-0.5,2
0.5,2
-0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
-0.5,2
0.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
0.0,2
-0.5,2
1.0,2
0.0,2
0.0,2
-0.5,2
-1.0,2
0.0,2
0.0,2
0.0,2
-0.5,2
-0.5,2
0.5,2
-0.5,2
0.5,2
-0.5,2
0.5,2
-0.5,2
0.5,2
0.0,2
0.0,2
0.0,2
-0.5,2
0.0,2
0.5,2
0.0,2
1.0,2
-0.5,2
0.5,2
0.0,2
0.0,2
0.0,2
0.0,2
0.0,2
0.5,2
-1.0,2
0.0,2
-0.5,2
-2.0,2
-1.0,2
0.0,2
-0.5,2
0.0,2
-0.5,2
0.0,2
-0.5,2
-1.0,2
0.0,2
0.0,2
0.0,2
0.5,2
0.5,2
1.0,2
0.5,2
0.0,2
0.0,2
0.5,2
0.0,2
0.0,2
0.0,2
0.5,2
0.0,2
0.0,2
1.0,2
0.0,2
1.5,2
1.0,2
0.5,2
1.0,2
0.5,2
1.0,2
0.5,2
1.0,2
0.5,2
0.5,2
0.0,2
0.5,2
2.0,2
-2.0,2
-0.5,2
0.0,2
-0.5,2
0.0,2
